X,y,airfoil name
"[-0.1532271990139882 0.0198270673830246 -0.0018900999160549
 0.0016989584493074 0.000831243676569 0.0014879622726188
 0.0004275163322784 0.0005192157892015 8.64911195036361e-05
 0.1532271990139882 -0.0198270673830246 0.0018900999160549
 -0.0016989584493074 -0.000831243676569 -0.0014879622726188
 -0.0004275163322784 -0.0005192157892015 -8.64911195036361e-05
 0.0022003624 17.0]",[0.5096641827165923],NACA0012_0017
"[-0.0962903636275296 -0.0127086355446827 -0.0318530918422708
 0.0071392160361163 -0.0097657496748723 0.0002910983539005
 -0.0010688020924398 -0.0029433253622785 -0.0006034526470943
 0.1062084063727889 -0.084453367362598 -0.0229651542626985
 -0.0090368903689417 -0.0003170648718125 0.0031409615800117
 -0.0079274272647579 -0.0005716855963442 -0.0022242748504286 0.0013337934
 5.0]",[0.6121075581492075],RC410_0039
"[-0.1684162535772755 -0.0218826391108462 -0.0137981267428624
 0.0008134827604765 -0.0063039002740745 -0.0017429400711668
 -0.0030143206678729 -0.0008593330806024 -0.0009658623453027
 0.1684162535772755 0.0218826391108462 0.0137981267428624
 -0.0008134827604765 0.0063039002740745 0.0017429400711668
 0.0030143206678729 0.0008593330806024 0.0009658623453027 0.0008611501
 12.0]",[0.5177126374835672],NACA0012_64_0002
"[-0.1440564729567294 0.0109158249995479 -0.0126023715140378
 0.0150629595585242 -0.0056225694415656 0.0051722621881268
 -0.0027779124710126 0.0012810182517556 -0.0014501885597479
 0.1759780376148323 0.0326645488229222 0.0368245740433181
 -0.0035710867230217 0.0094889142635658 -0.0010512895203461
 0.0037339683272815 -0.0001531092728878 0.0018730030835897 0.0007410646
 7.0]",[0.5651892468949203],RCSC2_0023
"[-0.0540428405698713 0.03766391228234 -0.014695079317623
 -0.0032092884390679 -0.0236636149445096 -0.002166514394303
 -0.0132819031570853 -0.0026820891200973 -0.0046555556592839
 0.1410318262892322 -0.0261505181923359 -0.0004921388173568
 -0.0016903554405854 -0.0100831214531054 0.0006550475528124
 -0.0058536675464109 -0.0017591252204406 -0.0008915014142404 0.0 2.0]",[0.6439281141878291],V23010_158_0018
"[-0.1139229941659496 -0.0448368700989873 -0.0399798585145634
 0.0071835875468493 -0.0051901479232331 0.0048729549334247
 -0.0015427704428593 0.0012893721382993 -0.0007305087667354
 0.1686539148747179 -0.0084857164214403 -0.0189977622579117
 0.0007811270399481 -0.0006110135517027 0.0031954612750551
 0.0011794168423241 0.0008838570706225 0.0003934279496203
 0.0006206743929187 2.0]",[0.6846364099963467],RC310_0009
"[-0.1588369465040028 0.0178921797213517 -0.0023869943437152
 0.0016989588730017 0.0008312442592262 0.0014879627021587
 0.000427516838712 0.0005192161687153 8.649149404518913e-05
 0.1588369465040028 -0.0178921797213517 0.0023869943437152
 -0.0016989588730017 -0.0008312442592262 -0.0014879627021587
 -0.000427516838712 -0.0005192161687153 -8.649149404518913e-05
 0.0010807807 14.0]",[0.5185422842915716],NACA0012_0023
"[-0.1276655203510284 -0.0139122597135663 -0.021805553564395
 -0.0008585786595923 -0.0132519912886356 0.0006086538866346
 -0.013205181335479 -0.0026937375504093 -0.0050295160633202
 0.1409351804983676 -0.0667992626446532 -0.0017779815190919
 0.0007622916427849 0.0042666083984501 0.0030016566533653
 -0.0050846942114339 -0.0023077489828573 -0.0006618282080144 0.0 1.0]",[0.6140604727583748],V23010_158_0023
"[-0.1031355241175072 -0.036946260533219 -0.0292861067557521
 0.0062335915043437 -0.0046600997326241 0.0047667983758223
 -0.0015645240083372 0.001313264249418 -0.0008058753353725
 0.1226203114508755 -0.0010641189742467 -0.0088965613456051
 -0.0017846024922412 1.5451192627502916e-05 0.0031028300712612
 0.0011264149012118 0.0008687633686661 0.0003424026759632
 0.000705012311336 6.0]",[0.6547691122901571],RC310_0022
"[-0.0661752618858535 0.110147335353988 -0.006748342844111
 0.0111365174196354 0.0048674529475432 0.0049035333179041
 -0.0017702856676875 -0.0003136542464667 -0.001097462984938
 0.2901962054935906 0.0276298345189541 -0.0157070990180471
 -0.0001942038778477 -0.0052004329458804 -0.0035456731518687
 -0.0013628877375905 -0.0024092479939884 -0.0003207126007596 0.0001244829
 11.0]",[0.6039136845324176],GS1_0024
