X,y,airfoil name
"[-0.1176643142741434 0.0155585620735389 -0.0020045486805009
 0.0016989588104794 0.0008312442016849 0.0014879626877478
 0.0004275168449418 0.0005192161970739 8.649152000326e-05
 0.1176643142741434 -0.0155585620735389 0.0020045486805009
 -0.0016989588104794 -0.0008312442016849 -0.0014879626877478
 -0.0004275168449418 -0.0005192161970739 -8.649152000326e-05 0.0009845025
 -3.0]",[0.3793130482430136],NACA0012_0022
"[-0.1156380339274461 0.0121527706825051 -0.0113638891689332
 0.0128051471245532 -0.0059601922672614 0.0050916176597107
 -0.0028072277841624 0.0012558720575909 -0.0014427881403929
 0.1589915390404717 0.0351614522062099 0.0309138838454359
 -0.0013549039062508 0.0088222552665506 -0.0011401564796877
 0.0036991347603624 -0.0001786377589506 0.0018782066621454 0.0015214933
 -4.0]",[0.3972688323890756],RCSC2_0036
"[-0.0226895514442362 0.1342968507304019 -0.0088982579292778
 0.0247605483887952 -0.0050788775017208 0.0017095857753717
 -0.0020591147564053 0.0001586539878014 -0.0014177153985874
 0.2928388455216999 0.039292765694555 -0.0165392898958542
 0.0150018210807727 -0.0125944617161846 -0.0057021878075598
 -0.0027638140500935 -0.0016788134043942 -0.000692940412464
 6.500652270789763e-05 -1.0]",[0.4456059407044515],GS1_0002
"[-0.0959609826464591 -0.0175503058772274 -0.0451338297678033
 0.009018926366023 -0.0114268993922518 0.0007014775771251
 -0.0014117090478532 -0.0026955055097526 -0.0009218483111857
 0.1551405913666984 -0.0751432893929806 -0.0355408524516663
 -0.0048366636629779 -0.0013790188830526 0.0032303142370303
 -0.0080390794072129 -0.000390795196519 -0.0025435679443266
 0.0005362761336788 -3.0]",[0.4642403266498175],RC410_0009
"[-0.1506365135940426 0.0146193922310188 -0.0137329767308897
 -0.0061670941365085 -0.0045091439505161 -0.0027139531775119
 -0.0027972717397265 -0.0011201793502545 -0.0008099806138681
 0.1506365135940426 -0.0146193922310188 0.0137329767308897
 0.0061670941365085 0.0045091439505161 0.0027139531775119
 0.0027972717397265 0.0011201793502545 0.0008099806138681 0.0006559562
 -4.0]",[0.3441747963692195],NACA0015_0021
"[-0.0869814999342387 0.0141053971454416 0.0331879807936825
 0.0305076309925263 0.0125614999386 0.0087643739979176 0.0034697152053552
 0.0028904475112925 0.0002900808126919 0.1275206327295993
 -0.0583193590637323 -0.044357111979257 -0.0151188630021653
 -0.0196952102726246 -0.0023991084803777 -0.0055431762271665
 0.0004295764524434 -0.0018018293651498 0.0005421865368954 -3.0]",[0.4479529190614932],SSCA09_0025
"[-0.1698611578837203 0.0210694055550525 -0.0021662454523721
 0.0016989590736853 0.0008312443052967 0.0014879628078523
 0.0004275168619433 0.000519216193885 8.649146563491333e-05
 0.1698611578837203 -0.0210694055550525 0.0021662454523721
 -0.0016989590736853 -0.0008312443052967 -0.0014879628078523
 -0.0004275168619433 -0.000519216193885 -8.649146563491333e-05
 0.0011243577 -3.0]",[0.3260408806633578],NACA0012_0035
"[-0.0799082828534588 0.0146951772989325 0.0091978599332266
 0.0320648120897121 0.0100143840365268 0.0116012081194114
 0.0020464887711488 0.0030643566756234 -0.0003084141391558
 0.1627154389662107 -0.0692186536598253 -0.0596033690798408
 -0.0259074389380146 -0.023569156526232 -0.0011408128103524
 -0.007678387439379 0.0008210720165826 -0.0023115561107481
 0.0026112850379111 -1.0]",[0.4781878511647779],SC2110_0024
"[-0.1994182976207111 0.0020984999843861 0.020006475361904
 -0.0037051625806355 -0.0068179425039149 -0.0007411687253315
 -0.0014947447570625 -0.0007444118772583 -0.000872012226659
 0.1994182976207111 -0.0020984999843861 -0.020006475361904
 0.0037051625806355 0.0068179425039149 0.0007411687253315
 0.0014947447570625 0.0007444118772583 0.000872012226659 0.0004703134 -4.0]",[0.2741703768047077],NACA64A015_0040
"[-0.1189348718305526 -0.0175327359495585 -0.0376537632465468
 0.0095088237126336 -0.0112924366674464 0.0010549491520507
 -0.0011740971870508 -0.002711966734397 -0.0009453021878992
 0.1675056648710745 -0.0674395744979083 -0.0278836475472261
 -0.006116779173193 0.0026756370328522 0.00339905320626
 -0.0075729418975146 -0.0005797818475811 -0.0024299967970911
 0.0012775361108893 -4.0]",[0.4556968146679645],RC410_0024
